[Your Name],[Romance],102,[Makoto Shinkai],[Japanese],[Two teenagers mysteriously swap bodies across time.],[Ryunosuke Kamiki, Mone Kamishiraishi],12.0,22.0,16.0
0900,2024/05/16,H6
1030,2024/05/16,H5
1200,2024/05/16,H3
1330,2024/05/16,H7
1500,2024/05/16,H1
0930,2024/05/17,H6
1100,2024/05/17,H4
1230,2024/05/17,H5
1400,2024/05/17,H3
1530,2024/05/17,H7
0915,2024/05/18,H2
1045,2024/05/18,H6
1215,2024/05/18,H5
1345,2024/05/18,H1
1515,2024/05/18,H3
1000,2024/05/19,H4
1130,2024/05/19,H7
1300,2024/05/19,H6
1430,2024/05/19,H2
1600,2024/05/19,H1
0945,2024/05/20,H5
1115,2024/05/20,H6
1245,2024/05/20,H2
1415,2024/05/20,H4
1545,2024/05/20,H1
0900,2024/05/21,H7
1030,2024/05/21,H5
1200,2024/05/21,H3
1330,2024/05/21,H2
1500,2024/05/21,H6
0930,2024/05/22,H4
1100,2024/05/22,H7
1230,2024/05/22,H1
1400,2024/05/22,H5
