[Doraemon],[Animation],84,[Fujiko F. Fujio],[Japanese],[A cat robot helps a young boy navigate life.],[Wasabi Mizuta, Megumi Oohara],9.0,18.0,12.0
0900,2024/05/16,H5
1045,2024/05/16,H2
1215,2024/05/16,H6
1345,2024/05/16,H4
1515,2024/05/16,H7
0930,2024/05/17,H3
1100,2024/05/17,H1
1230,2024/05/17,H6
1400,2024/05/17,H4
1530,2024/05/17,H2
1015,2024/05/18,H5
1145,2024/05/18,H3
1315,2024/05/18,H7
1445,2024/05/18,H2
0945,2024/05/19,H1
1115,2024/05/19,H6
1245,2024/05/19,H4
1415,2024/05/19,H7
1545,2024/05/19,H5
0915,2024/05/20,H3
1045,2024/05/20,H2
1215,2024/05/20,H6
1345,2024/05/20,H1
1515,2024/05/20,H5
1000,2024/05/21,H4
1130,2024/05/21,H3
1300,2024/05/21,H2
1430,2024/05/21,H6
0930,2024/05/22,H5
1100,2024/05/22,H1
1230,2024/05/22,H7
1400,2024/05/22,H3
