[Crayon],[Animation],90,[Takeshi Yamada],[English],[A colorful journey of friendship and fun.],[Kana Hanazawa, Tomokazu Sugita],10.0,22.0,15.0
0900,2024/05/16,H1
1030,2024/05/16,H2
1200,2024/05/16,H3
1330,2024/05/16,H4
1500,2024/05/16,H5
0930,2024/05/17,H5
1100,2024/05/17,H3
1230,2024/05/17,H7
1400,2024/05/17,H2
1530,2024/05/17,H4
0930,2024/05/18,H5
1200,2024/05/18,H1
1330,2024/05/18,H6
1500,2024/05/18,H4
1000,2024/05/19,H2
1130,2024/05/19,H3
1300,2024/05/19,H5
1430,2024/05/19,H1
0900,2024/05/20,H4
1030,2024/05/20,H7
1200,2024/05/20,H6
1330,2024/05/20,H2
0930,2024/05/21,H6
1100,2024/05/21,H3
1200,2024/05/21,H1
1400,2024/05/21,H4
0900,2024/05/22,H2
1030,2024/05/22,H3
1200,2024/05/22,H7
1330,2024/05/22,H6
