[NeZha2],[Animation],96,[Yu Yang],[Mandarin],[The young god NeZha returns to save the world again.],[Lü Yanting, Han Mo],10.0,19.0,11.0
0915,2024/05/16,H3
1045,2024/05/16,H7
1215,2024/05/16,H1
1345,2024/05/16,H2
1515,2024/05/16,H5
0945,2024/05/17,H4
1115,2024/05/17,H6
1245,2024/05/17,H3
1415,2024/05/17,H1
1000,2024/05/18,H5
1130,2024/05/18,H2
1300,2024/05/18,H4
1430,2024/05/18,H7
1600,2024/05/18,H6
0930,2024/05/19,H3
1100,2024/05/19,H5
1230,2024/05/19,H2
1400,2024/05/19,H6
1530,2024/05/19,H4
1015,2024/05/20,H7
1145,2024/05/20,H1
1315,2024/05/20,H3
1445,2024/05/20,H5
0900,2024/05/21,H2
1030,2024/05/21,H6
1200,2024/05/21,H4
1330,2024/05/21,H1
1500,2024/05/21,H3
0930,2024/05/22,H6
1100,2024/05/22,H5
1230,2024/05/22,H2
