[Guilty Crown],[Romance],108,[Tetsuro Araki],[Japanese],[A teenager gains a mysterious power in a dystopian Japan.],[Yuichi Nakamura, Ai Kayano],11.0,20.0,13.0
1000,2024/05/16,H1
1130,2024/05/16,H3
1300,2024/05/16,H7
1430,2024/05/16,H6
1600,2024/05/16,H4
1030,2024/05/17,H5
1200,2024/05/17,H2
1330,2024/05/17,H7
1500,2024/05/17,H6
0915,2024/05/18,H1
1045,2024/05/18,H3
1215,2024/05/18,H4
1345,2024/05/18,H6
1515,2024/05/18,H7
1000,2024/05/19,H2
1130,2024/05/19,H3
1300,2024/05/19,H5
1430,2024/05/19,H1
1600,2024/05/19,H4
0930,2024/05/20,H7
1100,2024/05/20,H2
1230,2024/05/20,H4
1400,2024/05/20,H6
1530,2024/05/20,H3
1015,2024/05/21,H1
1145,2024/05/21,H6
1315,2024/05/21,H5
1445,2024/05/21,H2
0945,2024/05/22,H3
1115,2024/05/22,H4
1245,2024/05/22,H6
